"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"51","EINSTAD BUDSERVICE
                ","918420126","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"52","EIRIKS BILER EIRIK HALVORSEN
                ","918397345","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"53","EK KYLLAND SYSTEMER AS
                ","918378774","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"54","EMBRET HOLDING AS
                ","918303456","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"55","EMMA INTERIØR STIAN HERMANSEN GRAVDAHL
                ","918433937","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"56","EPO TIP TIG TECHNOLOGY AS
                ","918334920","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"57","ERGOMEDITECH AS
                ","918426272","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"58","ESPEVIG BIGÅRD DA
                ","818420242","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"59","EVENT TAILORS AS
                ","918472673","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"60","EXOTIC SHOP AS
                ","917990131","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"61","FAGERHOLT BUA AS
                ","918489924","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"62","FANSAVED AS
                ","918310843","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"63","FARSUND DRILLING SOLUTION AS
                ","918403442","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"64","FJELL OG SKOG AS
                ","918433813","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"65","FLEKKEFJORDSKLINIKKEN AS
                ","918391827","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"66","FOOD ASYLUM TA AS
                ","918327266","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"67","FORC AS
                ","918378553","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"68","FORELDREVEILEDNING BARNEVERNTJENESTEN AS
                ","918309772","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"69","FRANK TRONSTAD HOLDING AS
                ","918433066","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"70","FRODE HJELLE
                ","918490299","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"71","FRØKEN LØNDAL
                ","918370099","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"72","FS AUTOCO AS
                ","918487867","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"73","FØRELAND AS
                ","918327169","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"74","GATEWAY SECURITY AS
                ","918401172","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"75","GLAMOURHUSET ARGHAVAN CALAMY
                ","918358188","2017-01-12","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"76","GODLY GØRAN ABUSDAL
                ","917433313","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"77","GUNNAR BRANNSETHER AS
                ","918313133","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"78","HAUGEN EIGEDOM AS
                ","918391959","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"79","HAUGSEN DRIFT AS
                ","918409009","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"80","HAUGSEN HOLDING AS
                ","918302808","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"81","HELLUMS RÅDGIVNINGSTJENESTE AS
                ","918307729","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"82","HELMS SVANDAL AS
                ","918433759","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"83","HOLD KONTROLL AS
                ","918342648","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"84","HORNNES BYGG AS
                ","918449175","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"85","HOVDEN 1 AS
                ","918322604","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"86","HOVDEN NÆRINGSBYGG AS
                ","918320733","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"87","HTL AS
                ","918333142","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"88","HUDLEGEKONTORET JUDIT I KRISTIANSAND AS
                ","918380515","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
"89","HUNSFOS KOMPETANSESENTER AS
                ","918410953","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Agder","Før"
