"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"50","EGAS HANDEL AS
                ","918323570","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"51","EIKER MUSIKK OG MAT AS
                ","918376771","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"52","EIVIND SANDVIK
                ","918415033","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"53","ELITE ENGROS II AS
                ","918455329","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"54","ELITE FORVALTNING AS
                ","918302255","2017-01-02","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"55","ELITE INVEST II AS
                ","918455337","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"56","ELSTANGEN TERRASSE AS
                ","818342632","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"57","ERIK BØRRESENS ALLÉ 9 AS
                ","918466649","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"58","FH-HAJA AS
                ","918322000","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"59","FINANSIERING BIL SALG RAMAK ABDULKADER MOSTAFA
                ","918449019","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"60","FJELLFEST AS
                ","918360247","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"61","FLISUTSALGET HØNEFOSS AS
                ","818081642","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"62","FRISØR ANNE-LISE UNSGÅRD
                ","818405952","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"63","GEILOMAT AS
                ","918411224","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"64","GEOKART AS
                ","918316981","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"65","GOLDEN HEN HOLDING AS
                ","918441700","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"66","GR BYGG EIENDOM AS
                ","918357920","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"67","GRENSESPRENGERNE AS
                ","918367020","2017-01-13","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"68","GRØNBOENGEN EIENDOM AS
                ","818469322","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"69","GSR EIENDOM AS
                ","818316232","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"70","GUDBRANDSGARD MASKIN AS
                ","918309756","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"71","GULLBARN AS
                ","918458352","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"72","GYMBASIC AS
                ","918120424","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"73","H2-SUPPLY AS
                ","918456686","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"74","HAARSTAD PRECISION PRODUCTS AS
                ","918310703","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"75","HAGALUND MASKIN AS
                ","918469419","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"76","HAGEN BIL OG DEKK
                ","918444793","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"77","HANSEMANN AS
                ","918313559","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"78","HAST MALING & INTERIØR AS
                ","818433832","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"79","HAUGESGT 1 AS
                ","918369619","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"80","HEGMO AS
                ","918310711","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"81","HELGERUD BYGGTEGNING AS
                ","818466072","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"82","HEMSEDAL BYGGHÅNDVERK AS
                ","818378742","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"83","HMS BISTAND AS
                ","918417168","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"84","HOLM METAL WORKS
                ","918294988","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"85","HOPPY DAYS INVEST AS
                ","918325166","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"86","HVERVEN ATRIUM AS
                ","918190937","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"87","HÅKON AASEN
                ","918331344","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"88","HÅNDVERKER JERKIC AS
                ","918424644","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"89","HÅNDVERKER MIKKEL MICHAL KRZYSZTOF STROJNY
                ","818416032","2017-01-21","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"90","I KIOSKEN AS
                ","918369759","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"91","INGRID HOLDING AS
                ","918316817","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"92","INNOVAD AS
                ","918487107","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"93","ISSY AS
                ","918440461","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"94","IUNGSDALEN DNT AS
                ","918421920","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"95","J.LEE INVESTMENT
                ","918318585","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"96","JAL EXPRESS AS
                ","918353763","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"97","JBT HOLDING AS
                ","918309225","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"98","JEBSEN HOLM UTLEIETJENESTER AS
                ","918465901","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"99","JG MALING OG BYGGSERVICE AS
                ","818348282","2017-01-11","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"100","JOHJA AS
                ","918376313","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"101","JP VARMETEKNIKK JØRN RIKARD PETTERSEN
                ","918398627","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"102","JP VARMETEKNIKK PETTERSEN
                ","918398627","2017-01-30","Rettelse av foretaksnavn                          
                ","Buskerud","Før"
"103","JØRGENSEN SPILLERUTVIKLING
                ","918342710","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"104","KAI ROGER BØRJESSON
                ","918356436","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"105","KKB EIENDOM AS
                ","918409718","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"106","KLINISK VERNEPLEIER ÅGE FOSSHAUG AS
                ","918478590","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"107","KLOKKERLIA 30 BOLIGSAMEIE
                ","918462961","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"108","KONGSBERG MILJØDEPONI AS
                ","918368922","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"109","KRAFT GRAVING AS
                ","918329447","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"110","KRU HOLDING AS
                ","918320903","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"111","KUNNSKAPING.NO - ARILD GULBRANDSEN
                ","918331476","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"112","KUNNSKAPSKONSULENTEN HILDE OMHOLT
                ","918435158","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"113","KWOLITY VIBEZ ENTERTAIMENT KWADWO APPIAH KWARTENG
                ","918288791","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"114","KÅRE GUNNAR LIA
                ","916320663","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"115","LARS EINAR JOHANSEN MUSIKK, LYD, MEDIA
                ","918371842","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"116","LEVELD REISKAPSRING SA
                ","970547223","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
"117","LIER EIENDOM AS
                ","918376321","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Buskerud","Før"
