"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"51","KHH HOLDING AS
                ","918330364","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"52","KOMMUNAL BEMANNING & FINANS AS
                ","918124500","2017-01-05","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"53","KONVENT AS
                ","918306315","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"54","KRAMBUA INTERIØR OG KJØKKENUTSTYR AS
                ","918434453","2017-01-24","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"55","KRYSTALLPLANETEN AS
                ","918474706","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"56","LABERGSHAUG GÅRDSDRIFT AS
                ","918311335","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"57","LARSEN SOLUTION
                ","918080481","2017-01-02","Annullering av registrering                       
                ","Troms","Før"
"58","LDB HOLDING AS
                ","918413669","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"59","LERØY DRAGØY AS
                ","918375139","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"60","LINDGÅRDS AKVARELLER
                ","918481176","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"61","LORENTSEN HOLDING AS
                ","918314121","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"62","LS BYGG & MASKIN AS
                ","818442602","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"63","LYNGEN EXPERIENCE APARTMENTS AS
                ","918152865","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"64","LYNGEN KLINIKKEN AS
                ","918474102","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"65","M & M RACING AS
                ","918441557","2017-01-25","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"66","MARECON INDUSTRIES AS
                ","918328912","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"67","MARECON TECHNOLOGIES AS
                ","918328866","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"68","MARY JAAKOS MAT
                ","918176942","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"69","MIDT TROMS KJØRESKOLE KENNETH AAS
                ","918311467","2017-01-04","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"70","MYRVEGEN FAMILIEBARNEHAGE AS
                ","918491902","2017-02-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"71","MÅ HOLDING AS
                ","918410643","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"72","NATUR & FOTO TROND JOHNSEN
                ","818482582","2017-01-31","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"73","NB ADVENTURES AS
                ","918381864","2017-01-18","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"74","NN BETONG SAGING/KJERNEBORING AS
                ","918283323","2017-01-03","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"75","NORDGÅRD FOOTBALLTICK.NO
                ","918427686","2017-01-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"76","NYGÅRD VEDPRODUKSJON AS
                ","918402837","2017-01-19","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"77","OES HOLDING AS
                ","918368493","2017-01-16","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"78","PARTNERCONSULT AS
                ","918337245","2017-01-09","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"79","POLARFOX AS
                ","918408932","2017-01-20","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"80","R&G HOLDING AS
                ","918345779","2017-01-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"81","RAGNAROK BJERKAKER AS
                ","918457224","2017-01-27","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"82","RINGVIRKE AS
                ","817972292","2017-01-26","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"83","S4 HOLDING AS
                ","918326170","2017-01-06","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"84","SALANGEN-NYHETER DRIFT AS
                ","918462902","2017-01-28","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"85","SALONG CARINA EIENDOM AS
                ","918392424","2017-01-30","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"86","SAMEIGE VANGBERG
                ","918286845","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"87","SARKANI HOLDING AS
                ","918341722","2017-01-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
